name,api_name,api_yomi
Abukuma,阿武隈,あぶくま
Agano,阿賀野,あがの
Akagi,赤城,あかぎ
Akashi,明石,あかし
Akatsuki,暁,あかつき
Akebono,曙,あけぼの
Akigumo,秋雲,あきぐも
Akitsu Maru,あきつ丸,あきつまる
Akitsushima,秋津洲,あきつしま
Akizuki,秋月,あきづき
Amagi,天城,あまぎ
Amatsukaze,天津風,あまつかぜ
Aoba,青葉,あおば
Arare,霰,あられ
Arashi,嵐,あらし
Arashio,荒潮,あらしお
Asagumo,朝雲,あさぐも
Asashimo,朝霜,あさしも
Asashio,朝潮,あさしお
Ashigara,足柄,あしがら
Atago,愛宕,あたご
Ayanami,綾波,あやなみ
Bismarck,Bismarck,ビスマルク
Chikuma,筑摩,ちくま
Chitose,千歳,ちとせ
Chiyoda,千代田,ちよだ
Choukai,鳥海,ちょうかい
Fubuki,吹雪,ふぶき
Fumizuki,文月,ふみづき
Furutaka,古鷹,ふるたか
Fusou,扶桑,ふそう
Graf Zeppelin,Graf Zeppelin,グラーフ・ツェッペリン
Hagikaze,萩風,はぎかぜ
Haguro,羽黒,はぐろ
Hamakaze,浜風,はまかぜ
Haruna,榛名,はるな
Harusame,春雨,はるさめ
Hatsuharu,初春,はつはる
Hatsukaze,初風,はつかぜ
Hatsushimo,初霜,はつしも
Hatsuyuki,初雪,はつゆき
Hatsuzuki,初月,はつづき
Hayashimo,早霜,はやしも
Hayasui,速吸,はやすい
Hibiki,響,ひびき
Hiei,比叡,ひえい
Hiryuu,飛龍,ひりゅう
Hiyou,飛鷹,ひよう
Houshou,鳳翔,ほうしょう
Hyuuga,日向,ひゅうが
I-168,伊168,い168
I-19,伊19,い19
I-401,伊401,い401
I-58,伊58,い58
I-8,伊8,い8
Ikazuchi,雷,いかづち
Inazuma,電,いなづま
Ise,伊勢,いせ
Isokaze,磯風,いそかぜ
Isonami,磯波,いそなみ
Isuzu,五十鈴,いすず
Jintsuu,神通,じんつう
Junyou,隼鷹,じゅんよう
Kaga,加賀,かが
Kagerou,陽炎,かげろう
Kako,加古,かこ
Kashima,鹿島,かしま
Kasumi,霞,かすみ
Katori,香取,かとり
Katsuragi,葛城,かつらぎ
Kawakaze,江風,かわかぜ
Kazagumo,風雲,かざぐも
Kikuzuki,菊月,きくづき
Kinu,鬼怒,きぬ
Kinugasa,衣笠,きぬがさ
Kirishima,霧島,きりしま
Kisaragi,如月,きさらぎ
Kiso,木曾,きそ
Kitakami,北上,きたかみ
Kiyoshimo,清霜,きよしも
Kongou,金剛,こんごう
Kuma,球磨,くま
Kumano,熊野,くまの
Kuroshio,黒潮,くろしお
Libeccio,Libeccio,リベッチオ
Littorio,Littorio,リットリオ・イタリア
Maikaze,舞風,まいかぜ
Makigumo,巻雲,まきぐも
Maruyu,まるゆ,まるゆ
Maya,摩耶,まや
Michishio,満潮,みちしお
Mikazuki,三日月,みかづき
Mikuma,三隈,みくま
Miyuki,深雪,みゆき
Mizuho,瑞穂,みずほ
Mochizuki,望月,もちづき
Mogami,最上,もがみ
Murakumo,叢雲,むらくも
Murasame,村雨,むらさめ
Musashi,武蔵,むさし
Mutsu,陸奥,むつ
Mutsuki,睦月,むつき
Myoukou,妙高,みょうこう
Nachi,那智,なち
Naganami,長波,ながなみ
Nagara,長良,ながら
Nagato,長門,ながと
Nagatsuki,長月,ながつき
Naka,那珂,なか
Natori,名取,なとり
Nenohi,子日,ねのひ
Noshiro,能代,のしろ
Nowaki,野分,のわき
Oboro,朧,おぼろ
Okinami,沖波,おきなみ
Ooi,大井,おおい
Ooshio,大潮,おおしお
Ooyodo,大淀,おおよど
Prinz Eugen,Prinz Eugen,プリンツ・オイゲン
Roma,Roma,ローマ
Ryuujou,龍驤,りゅうじょう
Sakawa,酒匂,さかわ
Samidare,五月雨,さみだれ
Satsuki,皐月,さつき
Sazanami,漣,さざなみ
Sendai,川内,せんだい
Shigure,時雨,しぐれ
Shikinami,敷波,しきなみ
Shimakaze,島風,しまかぜ
Shiranui,不知火,しらぬい
Shiratsuyu,白露,しらつゆ
Shirayuki,白雪,しらゆき
Shouhou,祥鳳,しょうほう
Shoukaku,翔鶴,しょうかく
Souryuu,蒼龍,そうりゅう
Suzukaze,涼風,すずかぜ
Suzuya,鈴谷,すずや
Taigei,大鯨,たいげい・りゅうほう
Taihou,大鳳,たいほう
Takanami,高波,たかなみ
Takao,高雄,たかお
Tama,多摩,たま
Tanikaze,谷風,たにかぜ
Tatsuta,龍田,たつた
Tenryuu,天龍,てんりゅう
Teruzuki,照月,てるづき
Tokitsukaze,時津風,ときつかぜ
Tone,利根,とね
U-511,U-511,ゆー511・ろ500
Umikaze,海風,うみかぜ
Unryuu,雲龍,うんりゅう
Urakaze,浦風,うらかぜ
Ushio,潮,うしお
Uzuki,卯月,うづき
Wakaba,若葉,わかば
Yahagi,矢矧,やはぎ
Yamagumo,山雲,やまぐも
Yamashiro,山城,やましろ
Yamato,大和,やまと
Yayoi,弥生,やよい
Yukikaze,雪風,ゆきかぜ
Yura,由良,ゆら
Yuubari,夕張,ゆうばり
Yuudachi,夕立,ゆうだち
Yuugumo,夕雲,ゆうぐも
Z1,Z1,レーベレヒト・マース
Z3,Z3,マックス・シュルツ
Zara,Zara,ザラ
Zuihou,瑞鳳,ずいほう
Zuikaku,瑞鶴,ずいかく
