ship,line,url
Abukuma,Introduction,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/133252.mp3?VERSION=15
Abukuma,Secretary_1,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/178824.mp3?VERSION=15
Abukuma,Secretary_2,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/150657.mp3?VERSION=15
Abukuma,Secretary_3,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/126247.mp3?VERSION=15
Abukuma,Construction,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/175253.mp3?VERSION=15
Abukuma,Docking_Complete,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/156113.mp3?VERSION=15
Abukuma,Returning_From_Sortie,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/164491.mp3?VERSION=15
Abukuma,Looking_At_Scores,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/166963.mp3?VERSION=15
Abukuma,Equipment_1,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/199076.mp3?VERSION=15
Abukuma,Equipment_2,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/117507.mp3?VERSION=15
Abukuma,Docking_Minor,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/136267.mp3?VERSION=15
Abukuma,Docking_Major,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/177045.mp3?VERSION=15
Abukuma,Joining_A_Fleet,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/161238.mp3?VERSION=15
Abukuma,Starting_A_Sortie,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/134700.mp3?VERSION=15
Abukuma,Battle_Start,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/180965.mp3?VERSION=15
Abukuma,Attack,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/135618.mp3?VERSION=15
Abukuma,Night_Attack,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/129924.mp3?VERSION=15
Abukuma,Night_Battle,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/153522.mp3?VERSION=15
Abukuma,Minor_Damage_1,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/197659.mp3?VERSION=15
Abukuma,Minor_Damage_2,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/134806.mp3?VERSION=15
Abukuma,Major_Damage,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/170022.mp3?VERSION=15
Abukuma,Sunk,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/101532.mp3?VERSION=15
Abukuma,MVP,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/104185.mp3?VERSION=15
Abukuma,Wedding,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/129412.mp3?VERSION=15
Abukuma,Library,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/151893.mp3?VERSION=15
Abukuma,Equipment_3,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/136748.mp3?VERSION=15
Abukuma,Supply,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/175116.mp3?VERSION=15
Abukuma,Secretary_Married,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/144027.mp3?VERSION=15
Abukuma,Idle,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/102362.mp3?VERSION=15
Abukuma,Hourly 00,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/121634.mp3?VERSION=15
Abukuma,Hourly 01,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/171289.mp3?VERSION=15
Abukuma,Hourly 02,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/137291.mp3?VERSION=15
Abukuma,Hourly 03,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/176021.mp3?VERSION=15
Abukuma,Hourly 04,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/187233.mp3?VERSION=15
Abukuma,Hourly 05,http://203.104.209.71/kcs/sound/kcsgwumdfgzais/138783.mp3?VERSION=15
