name,api_name,api_id,api_sortno,api_filename,api_version,swf
Abukuma,阿武隈,114,110,sgwumdfgzais,15,16,831,http://203.104.209.71/kcs/resources/swf/ships/sgwumdfgzais.swf?VERSION=15,16,831
Abukuma Kai,阿武隈改,290,1390,uuxoixtoemiv,15,16,831,http://203.104.209.71/kcs/resources/swf/ships/uuxoixtoemiv.swf?VERSION=15,16,831
Abukuma Kai Ni,阿武隈改二,200,200,qjkjyqhsvcpx,15,16,831,http://203.104.209.71/kcs/resources/swf/ships/qjkjyqhsvcpx.swf?VERSION=15,16,831
Agano,阿賀野,137,137,ljzijyhhgrnx,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/ljzijyhhgrnx.swf?VERSION=9,9,831
Agano Kai,阿賀野改,305,1401,cmpqwemjahur,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/cmpqwemjahur.swf?VERSION=9,9,831
Akagi,赤城,83,6,uswetrxvttms,15,15,831,http://203.104.209.71/kcs/resources/swf/ships/uswetrxvttms.swf?VERSION=15,15,831
Akagi Kai,赤城改,277,1377,gtmwrbaniaud,14,14,831,http://203.104.209.71/kcs/resources/swf/ships/gtmwrbaniaud.swf?VERSION=14,14,831
Akashi,明石,182,182,kynputhclcdl,18,18,831,http://203.104.209.71/kcs/resources/swf/ships/kynputhclcdl.swf?VERSION=18,18,831
Akashi Kai,明石改,187,187,scobmrrdbmsw,22,19,831,http://203.104.209.71/kcs/resources/swf/ships/scobmrrdbmsw.swf?VERSION=22,19,831
Akatsuki,暁,34,71,mtvkfikepcfr,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/mtvkfikepcfr.swf?VERSION=3,3,831
Akatsuki Kai,暁改,234,1334,slzosqvxjxus,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/slzosqvxjxus.swf?VERSION=3,3,831
Akatsuki Kai Ni,暁改二,437,237,gzerqivthcrd,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/gzerqivthcrd.swf?VERSION=3,3,831
Akebono,曙,15,68,fwptxiocqkyd,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/fwptxiocqkyd.swf?VERSION=21,20,831
Akebono Kai,曙改,231,1331,wnocckxgfmnh,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/wnocckxgfmnh.swf?VERSION=21,20,831
